fecha,precio_btc,mercado_cap_btc,total_volumen_btc,precio_ethereum,mercado_cap_ethereum,total_volumen_ethereum,precio_tether,mercado_cap_tether, total_volumen_tether,precio_binance,mercado_caps_binance,total_volumen_binance
2022-06-10,29101.2982596468,554622874799.0432,25663085729.428833,1663.844367412088,201384347491.6296,17639990086.322327,1.0003491598181757,72520688667.83943,36433993612.708046,286.08123055198695,46728206970.79886,1297530974.575433
2022-06-11,28374.14499732395,540789214973.6274,22518366769.839092,1530.0386174317211,185302828001.8518,20409428647.9328,1.0000074399255752,72576221406.54123,36455427345.93367,269.8646190688167,44053080226.60472,1258736549.3642752
2022-06-12,26767.269173221313,514202090511.0678,29834061115.62461,1454.6867601728409,176649606143.59042,22843765038.754616,0.9981758319456596,72537430319.23059,45470539957.97197,256.08280782231475,42131635372.76615,1355338378.6604998
2022-06-13,22525.768350391198,429492202561.014,64852526179.382835,1205.5952855404787,146072737222.6309,47571733027.00858,1.003878535371738,72574376064.58528,97670512389.2243,222.63775191295326,36198614007.82916,2566326222.3201046
2022-06-14,22244.848968001315,423044474596.5387,47639470967.891426,1214.8662649132034,146866764082.71503,32772246927.059067,1.0008068657262768,71656901175.2088,77729840012.58226,223.45425894845545,36442165015.60948,2147410141.0655034
2022-06-15,22529.198114649807,429887916884.8431,52027211446.51121,1230.3643353556051,148791271623.67947,39679810344.68712,1.0027575782635136,70968169286.60156,85953586536.11925,232.69666343500458,37939256522.404945,2302592252.9958105
2022-06-16,20408.690490591813,389181727345.57733,27449277945.59262,1068.6035748646073,129200159744.2964,18016510161.232018,1.0024399187876885,70235527691.20668,50448023703.66962,209.83372009937108,34207718311.027905,831988466.92497
2022-06-17,20473.05288079512,391441740414.39136,24232922585.240158,1087.8139244584365,132057112459.09528,14067259810.778109,1.000689455739328,68278037848.465485,43923972966.941475,216.15306665313966,35292818780.12139,1061144047.6324332
2022-06-18,19047.41782828195,362303884192.0101,38920632524.1614,995.2525692707909,120148911164.20312,21112670623.39463,1.0009349010751099,68151264125.48352,59241588503.518684,197.37650625175277,32227038803.825478,1549811544.698275
2022-06-19,20516.41197977524,390555374756.5322,32488136325.883087,1125.7540917942745,136214925416.2125,21676867429.837547,1.0003130006690166,68007814323.779625,55314266867.93907,214.7703823312349,34924468457.17006,1313766322.7241383
2022-06-20,20636.75891240637,392793374515.9921,28346447996.779846,1132.0543935828048,136360308696.36774,19817753726.316406,0.9999209798555834,67174324823.029976,48000738299.93779,217.19294624056735,35485172287.16763,1134856804.7704136
2022-06-21,20700.923933039136,395059669321.2376,25340643362.789,1124.5613920165545,136466936749.80061,14838197887.543182,0.9995129710953515,67044714784.61816,44528688377.55739,219.48024051321624,35750851630.41949,1131744411.9120395
2022-06-22,19983.566482863105,381616262301.266,24955466738.110855,1051.0740681589236,127762640725.99548,14331217471.338781,1.0011153911297273,67075479327.27952,41441873470.93056,214.5688252429915,35089855487.27363,733234140.6354548
2022-06-23,21100.270533511088,402495826231.42053,23655104386.978516,1144.4807534808065,138845063633.00702,14247953151.150192,0.9998742920182467,66969005414.49898,43868691242.77724,229.08407350667895,37404154458.08707,1129788546.3309674
2022-06-24,21262.71348295613,407086114490.3726,21955656695.748722,1229.3040854466553,150370804175.61023,16288488163.424995,0.9973063093540515,66944585773.38764,39867284342.63236,240.94640906164074,39486522340.2154,1226204267.1183867
